Zipcode,Community,2018_population
91901,Alpine,17885
91902,Bonita,17375
91905,Boulevard,2014
91906,Campo,3686
91910,Chula Vista,82682
91911,Chula Vista,84626
91913,Chula Vista,49519
91914,Chula Vista,17072
91915,Chula Vista,29796
91916,Descanso,2195
91917,Dulzura,830
91931,Guatay,425
91932,Imperial Beach,28163
91934,Jacumba,1084
91935,Jamul,8636
91941,La Mesa,34289
91942,La Mesa,40175
91945,Lemon Grove,26834
91948,Mount Laguna,549
91950,National City,58606
91962,Pine Valley,1666
91963,Potrero,974
91977,Spring Valley,61056
91978,Spring Valley,8115
91980,Tecate,195
92003,Bonsall,4354
92004,Borrego Springs,4618
92007,Cardiff by the Sea,11160
92008,Carlsbad,29396
92009,Carlsbad,43412
92010,Carlsbad,16313
92011,Carlsbad,23886
92014,Del Mar,13786
92019,El Cajon,44306
92020,El Cajon,61859
92021,El Cajon,67925
92024,Encinitas,56518
92025,Escondido,51509
92026,Escondido,55854
92027,Escondido,53608
92028,Fallbrook,48274
92029,Escondido,20462
92036,Julian,4346
92037,La Jolla,42596
92040,Lakeside,43996
92054,Oceanside,41945
92055,Camp Pendleton,39070
92056,Oceanside,54385
92057,Oceanside,56250
92058,Oceanside,24523
92059,Pala,1547
92060,Palomar Mountain,974
92061,Pauma Valley,2531
92064,Poway,50315
92065,Ramona,35628
92066,Ranchita,342
92067,Rancho Santa Fe,9895
92069,San Marcos,49734
92070,Santa Ysabel,879
92071,Santee,56813
92075,Solana Beach,13017
92078,San Marcos,49807
92081,Vista,32814
92082,Valley Center,17444
92083,Vista,40049
92084,Vista,49358
92086,Warner Springs,1477
92091,Rancho Santa Fe,1962
92093,La Jolla,11844
92096,San Marcos,566
92101,"SD, Downtown",58656
92102,San Diego,42951
92103,"SD, Hillcrest",38879
92104,"SD, North Park",52029
92105,"SD, City Heights",68060
92106,"SD, Point Loma",21998
92107,"SD, Ocean Beach",30704
92108,"SD, Mission Valley",27432
92109,"SD, Pacific Beach",53681
92110,"SD, Old Town",29926
92111,"SD, Linda Vista",48310
92113,"SD, Logan Heights",50458
92114,"SD, Encanto",58831
92115,"SD, College Grove",62188
92116,"SD, Normal Heights",36941
92117,"SD, Clairemont",51999
92118,Coronado,17934
92119,"SD, Navajo",23746
92120,"SD, Grantville",29006
92121,San Diego,4796
92122,"SD, University",48504
92123,"SD, Serra Mesa",32897
92124,"SD, Tierrasanta",31210
92126,"SD, Mira Mesa",76665
92127,"SD, Rancho Bernardo",49605
92128,"SD, Rancho Bernardo",50678
92129,"SD, Rancho Penasquit",52563
92130,"SD, Carmel Valley",59436
92131,"SD, Scripps Ranch",35951
92134,San Diego,354
92135,Coronado,2717
92136,"SD, 32nd St Naval St",13105
92139,"SD, Paradise Hills",33117
92140,San Diego,3925
92145,San Diego,749
92154,"SD, Otay Mesa",81645
92155,Coronado,1032
92161,San Diego,0
92173,San Ysidro,27741
92182,San Diego,2222
92259,Ocotillo,0
92536,Aguanga,491
92672,San Clemente,4529
